segment event:,cevent_speech_naming_local-id,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,
,,,,,proportion_by_category,,mean_duration_by_category,,number_of_events_by_category,,proportion_by_category,,mean_duration_by_category,,number_of_events_by_category,
,,,,,,,,,,,,,,,,
subject ID,instance ID,onset,offset,category value,target,distractor,target,distractor,target,distractor,target,distractor,target,distractor,target,distractor
7005,29,154.97,165.85,2,0.46415,0.15901,1.6833,0.865,3,2,0.29504,0.36765,0.642,0.5,5,8
7005,30,171.25,178.35,1,0.67887,0.19155,1.6067,1.36,3,1,0.19296,0.48169,0.45667,1.71,3,2
7005,31,171.25,178.35,1,0.67887,0.19155,1.6067,1.36,3,1,0.19296,0.48169,0.45667,1.71,3,2
7005,32,202,207.41,1,0,0.25323,NaN,1.37,0,1,0.19039,0.48244,0.515,0.87,2,3
7005,33,202,207.41,1,0,0.25323,NaN,1.37,0,1,0.19039,0.48244,0.515,0.87,2,3
7005,34,202,207.41,3,0.25323,0,1.37,NaN,1,0,0.48244,0.19039,0.87,0.515,3,2
7005,35,202,207.41,3,0.25323,0,1.37,NaN,1,0,0.48244,0.19039,0.87,0.515,3,2
7005,36,208.52,210.87,3,0.14894,0.39574,0.35,0.93,1,1,0.48085,0,1.13,NaN,1,0
7005,37,211.44,214.01,2,0,0.49416,NaN,1.27,0,1,0.67704,0,1.74,NaN,1,0
7005,38,215.62,220.46,3,0.46074,0.035124,2.23,0.17,1,1,0.22314,0,1.08,NaN,1,0
7005,39,215.62,220.46,3,0.46074,0.035124,2.23,0.17,1,1,0.22314,0,1.08,NaN,1,0
7005,40,215.62,220.46,1,0.035124,0.46074,0.17,2.23,1,1,0,0.22314,NaN,1.08,0,1
7005,41,220.86,222.75,1,0,0,NaN,NaN,0,0,0,0.24868,NaN,0.47,0,1
7005,42,220.86,222.75,2,0,0,NaN,NaN,0,0,0.24868,0,0.47,NaN,1,0
7005,43,223.51,224.44,2,0.010753,0.66667,0.01,0.62,1,1,1,0,0.93,NaN,1,0
7005,44,239.95,240.64,2,1,0,0.69,NaN,1,0,0,0,NaN,NaN,0,0
7005,45,241.17,242.06,2,1,0,0.89,NaN,1,0,0.78652,0.14607,0.7,0.13,1,1
7005,46,242.87,243.76,2,0.44944,0.51685,0.4,0.46,1,1,0.1573,0.26966,0.14,0.24,1,1
7005,47,245.77,246.89,3,0.79464,0,0.89,NaN,1,0,0,0.14286,NaN,0.16,0,1
7005,48,248.24,249.69,3,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0
7005,49,250.09,251.26,3,0,0,NaN,NaN,0,0,0,0.88034,NaN,1.03,0,1
7005,50,251.88,253.77,1,0.30159,0.21164,0.57,0.4,1,1,0.55556,0,0.525,NaN,2,0
7005,51,251.88,253.77,1,0.30159,0.21164,0.57,0.4,1,1,0.55556,0,0.525,NaN,2,0
7005,52,254.85,256.07,2,0,1,NaN,1.22,0,1,0.032787,0.54098,0.04,0.165,1,4
7005,53,281.47,286.22,2,0.32211,0,0.765,NaN,2,0,0.66526,0,1.58,NaN,2,0
7005,54,281.47,286.22,2,0.32211,0,0.765,NaN,2,0,0.66526,0,1.58,NaN,2,0
7005,55,281.47,286.22,2,0.32211,0,0.765,NaN,2,0,0.66526,0,1.58,NaN,2,0
7005,56,287.38,291.92,2,0.73128,0,3.32,NaN,1,0,0,0.015419,NaN,0.07,0,1
7005,57,295.85,297.47,1,1,0,1.62,NaN,1,0,1,0,1.62,NaN,1,0
7005,58,298.52,301.44,1,0.15411,0,0.45,NaN,1,0,0.2774,0.11301,0.81,0.33,1,1
7005,59,302.21,306.65,1,0,0.52703,NaN,1.17,0,2,0.27928,0.64189,0.62,0.7125,2,4
7005,60,302.21,306.65,2,0,0.52703,NaN,1.17,0,2,0.20946,0.71171,0.31,1.0533,3,3
7005,61,302.21,306.65,3,0.52703,0,1.17,NaN,2,0,0.43243,0.48874,1.92,0.434,1,5
7005,62,315,318.32,1,0.91867,0.03012,3.05,0.1,1,1,0.26807,0.56627,0.29667,0.62667,3,3
7005,63,322.51,325.07,2,0.43359,0,0.37,NaN,3,0,0,0,NaN,NaN,0,0
7005,64,322.51,325.07,2,0.43359,0,0.37,NaN,3,0,0,0,NaN,NaN,0,0
7005,65,326.19,331.75,1,0.086331,0.17086,0.24,0.95,2,1,0.0071942,0.043165,0.04,0.12,1,2
7005,66,326.19,331.75,1,0.086331,0.17086,0.24,0.95,2,1,0.0071942,0.043165,0.04,0.12,1,2
7005,67,326.19,331.75,1,0.086331,0.17086,0.24,0.95,2,1,0.0071942,0.043165,0.04,0.12,1,2
7005,68,333.07,338.89,2,0.19416,0.085911,1.13,0.5,1,1,0.12715,0.11684,0.37,0.22667,2,3
7005,69,339.81,340.85,2,0.26923,0.66346,0.28,0.69,1,1,0.057692,0,0.06,NaN,1,0
7006,1,30.072,32.22,1,0.20158,0.10847,0.433,0.233,1,1,0.59637,0,0.6405,NaN,2,0
7006,2,32.981,34.385,1,0.64103,0,0.9,NaN,1,0,0.11895,0,0.167,NaN,1,0
7006,3,35.407,36.971,1,0.8766,0,1.371,NaN,1,0,0.72762,0.042839,0.569,0.067,2,1
7006,4,41.402,42.1,3,1,0,0.698,NaN,1,0,0.47421,0.33381,0.331,0.233,1,1
7006,5,45.538,46.222,3,0,0,NaN,NaN,0,0,1,0,0.684,NaN,1,0
7006,6,47.156,47.827,3,0,0.6617,NaN,0.444,0,1,0,0,NaN,NaN,0,0
7006,7,50.927,51.834,2,0.37486,0.4785,0.34,0.434,1,1,0.88313,0,0.801,NaN,1,0
7006,8,54.629,57.429,2,0.07,0,0.196,NaN,1,0,0.47607,0,0.6665,NaN,2,0
7006,9,60.885,61.491,1,0,1,NaN,0.606,0,1,0.55116,0.26073,0.334,0.158,1,1
7006,10,66.807,67.4,3,0.15683,0,0.093,NaN,1,0,0,0,NaN,NaN,0,0
