segment event:,cevent_inhand_child,,,,cevent_eye_roi_child,,,,,,,,,,,
,,,,,proportion_by_category,,,,mean_duration_by_category,,,,number_of_events_by_category,,,
,,,,,,,,,,,,,,,,
subject ID,instance ID,onset,offset,category value,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4
7005,32,249.63,256.07,1,0.088509,0,0.30124,0.14441,0.57,NaN,0.97,0.93,1,0,2,1
7005,33,255.57,256.07,3,0,0,1,0,NaN,NaN,0.5,NaN,0,0,1,0
7005,34,275.13,275.7,3,0,0.12281,0.42105,0,NaN,0.07,0.24,NaN,0,1,1,0
7005,35,275.43,275.97,3,0,0.62963,0.074074,0,NaN,0.34,0.04,NaN,0,1,1,0
7005,36,276.83,294.8,1,0.0038954,0.46912,0.14302,0.30384,0.07,1.405,2.57,1.365,1,6,1,4
7005,37,282.37,285.5,2,0,0.21406,0,0.76677,NaN,0.67,NaN,2.4,0,1,0,1
7005,38,289.63,307.57,2,0.26812,0.22297,0.14548,0.18172,2.405,1.3333,0.87,1.63,2,3,3,2
7005,39,296.87,307.83,1,0.26734,0,0.23814,0.26734,1.465,NaN,0.87,2.93,2,0,3,1
7005,40,308.27,312.33,1,0.13793,0.35222,0.4335,0,0.56,0.715,0.88,NaN,1,2,2,0
7005,41,308.33,316.13,1,0.17436,0.44872,0.27692,0,0.68,1.75,0.72,NaN,2,2,3,0
7005,42,313.5,318.27,2,0.62893,0.18868,0.083857,0,3,0.9,0.4,NaN,1,1,1,0
7005,43,318.77,325.77,1,0.27143,0.33,0,0.14714,0.95,0.5775,NaN,1.03,2,4,0,1
7005,44,319.27,325.03,1,0.19618,0.35417,0,0.17882,1.13,0.51,NaN,1.03,1,4,0,1
7005,45,332.1,334.9,2,0.35714,0.46429,0,0,1,0.65,NaN,NaN,1,2,0,0
7005,46,340.4,341.67,1,0.07874,0.44094,0,0.37008,0.1,0.56,NaN,0.47,1,1,0,1
7006,1,36.267,37.467,1,0.75,0.16667,0,0,0.9,0.2,NaN,NaN,1,1,0,0
7006,2,36.5,37.467,1,0.68976,0.20683,0,0,0.667,0.2,NaN,NaN,1,1,0,0
7006,3,37.567,37.7,1,0,0.49624,0,0,NaN,0.066,NaN,NaN,0,1,0,0
7006,4,37.667,38.167,1,0,0,0,0.734,NaN,NaN,NaN,0.367,0,0,0,1
7006,5,39.267,39.7,1,0,0,1,0,NaN,NaN,0.433,NaN,0,0,1,0
7006,6,40.7,45.567,3,0.027327,0,0.72591,0.10972,0.133,NaN,1.7665,0.534,1,0,2,1
7006,7,42.467,46.067,3,0.036944,0,0.49056,0.28722,0.133,NaN,0.883,1.034,1,0,2,1
7006,8,46.333,46.467,3,0,0,0,1,NaN,NaN,NaN,0.134,0,0,0,1
7006,9,46.367,46.467,3,0,0,0,1,NaN,NaN,NaN,0.1,0,0,0,1
7006,10,46.633,46.733,3,0,0,0,0,0,NaN,NaN,NaN,1,0,0,0
7006,11,46.9,47.033,3,1,0,0,0,0.133,NaN,NaN,NaN,1,0,0,0
7006,12,46.933,49.767,3,0.23536,0.42343,0.035286,0,0.667,0.3,0.05,NaN,1,4,2,0
7006,13,48.9,49.167,3,0,0.50187,0,0,NaN,0.134,NaN,NaN,0,1,0,0
7006,14,49.9,52.767,2,0,0.47681,0.47681,0,NaN,1.367,1.367,NaN,0,1,1,0
7006,15,51.267,56,2,0,0,0.54933,0.39446,NaN,0,2.6,1.867,0,1,1,1
7006,16,53.333,56,2,0,0,0.25009,0.70004,NaN,NaN,0.667,1.867,0,0,1,1
