#more(on2;_off1)_&_more(on1;_on2),yulab_data\7003\cevent_eye_roi_child.csv,,,yulab_data\7003\cevent_eye_roi_parent.csv,,,
#onset1,offset1,category1,index1,onset2,offset2,category2,index2
309.43,310.77,3,132,310.53,311.57,3,322
316.33,317.3,2,137,316.63,316.77,2,331
321.9,327.7,1,140,323.63,323.97,1,340
321.9,327.7,1,140,324.9,325.07,1,342
321.9,327.7,1,140,326.87,327.37,1,347
328,329.83,1,141,328,328.17,1,349
333.1,334.17,3,143,333.57,334.3,3,356
334.23,342.13,1,144,336.67,337.13,1,358
334.23,342.13,1,144,337.67,338.07,1,360
334.23,342.13,1,144,338.83,338.97,1,362
334.23,342.13,1,144,339.4,339.6,1,364
334.23,342.13,1,144,339.97,340.13,1,365
334.23,342.13,1,144,340.67,340.8,1,367
334.23,342.13,1,144,341.33,341.47,1,369
